time,SiO2,Al2O3,Fe2O3,CaO,MgO,SO3,Na2O,K2O,Cl,SM,AM,,,
8:00,48.53,15.62,18.92,2.92,1.01,0.15,0.13,0.50,0.09,1.41,0.83,,,
20:00,51.40,17.32,14.43,3.36,1.02,0.81,0.14,0.54,0.10,1.62,1.20,,,
0:00,55.65,21.88,14.62,0.53,0.31,0.12,0.10,0.07,0.10,1.52,1.50,,,
8:00,50.09,21.72,13.65,2.33,0.39,0.13,0.11,0.13,0.10,1.42,1.59,,,
16:00,51.27,23.12,12.62,0.84,0.41,0.12,0.08,0.13,0.11,1.43,1.83,,,
0:00,52.36,21.58,17.44,1.21,0.43,0.11,0.10,0.17,0.09,1.34,1.24,,,
8:00,55.06,20.84,15.85,0.83,0.41,0.09,0.09,0.16,0.09,1.50,1.31,,,
16:00,55.25,20.50,16.22,0.79,0.43,0.19,0.08,0.15,0.10,1.50,1.26,,,
0:00,54.48,21.62,16.71,0.58,0.41,0.09,0.10,0.14,0.09,1.42,1.29,,,
16:00,54.43,22.02,12.68,0.68,0.40,0.10,0.11,0.14,0.10,1.57,1.74,,,
0:00,54.79,21.62,15.00,0.67,0.42,0.08,0.10,0.16,0.10,1.50,1.44,,,
8:00,57.90,18.05,14.55,1.87,0.49,0.12,0.09,0.20,0.11,1.78,1.24,,,
16:00,55.82,20.88,12.09,0.87,0.44,0.29,0.10,0.18,0.10,1.69,1.73,,,
0:00,52.29,20.49,18.20,0.83,0.42,0.11,0.10,0.17,0.09,1.35,1.13,,,
8:00,60.50,19.99,11.82,0.95,0.38,0.12,0.09,0.11,0.10,1.90,1.69,,,
16:00,57.62,21.34,8.10,1.17,0.40,0.15,0.10,0.11,0.10,1.96,2.63,,,
0:00,60.17,19.90,12.39,0.62,0.37,0.18,0.09,0.11,0.09,1.86,1.61,,,
1:00,60.40,19.57,12.57,0.60,0.39,0.09,0.10,0.10,0.10,1.88,1.56,,,
8:00,59.10,20.57,9.39,0.74,0.38,0.08,0.10,0.10,0.11,1.97,2.19,,,
16:00,56.16,22.12,8.89,0.63,0.38,0.08,0.10,0.11,0.11,1.81,2.49,,,
